RowType,Month,DocNumber,Account,Class,Amount,Memo
JE Header,2026-05,COGS-CORR-May2026,,,2686.81,"COGS correction for May 2026: true FIFO inventory cost was $10.01/unit (validated against 8/3/2026 physical count of 2,267 units), vs. $7.08/unit posted rate baseline. Restates COGS by channel for units sold this month."
Line,2026-05,COGS-CORR-May2026,51100 Bulk Olive Oil - Raw (Debit),DTC,506.89,DTC: 173 units x ($10.01 true - $7.08 posted) = $506.89 understatement
Line,2026-05,COGS-CORR-May2026,51100 Bulk Olive Oil - Raw (Debit),TikTok,1248.18,"TikTok: 426 units x ($10.01 true - $7.08 posted) = $1,248.18 understatement"
Line,2026-05,COGS-CORR-May2026,51100 Bulk Olive Oil - Raw (Debit),Amazon,931.74,Amazon: 318 units x ($10.01 true - $7.08 posted) = $931.74 understatement
Line,2026-05,COGS-CORR-May2026,13100 Inventory (Credit),,2686.81,Relieves inventory for May 2026 COGS correction
JE Header,2026-06,COGS-CORR-Jun2026,,,2107.28,"COGS correction for Jun 2026: true FIFO inventory cost was $9.92/unit (validated against 8/3/2026 physical count of 2,267 units), vs. $7.08/unit posted rate baseline. Restates COGS by channel for units sold this month."
Line,2026-06,COGS-CORR-Jun2026,51100 Bulk Olive Oil - Raw (Debit),DTC,590.72,DTC: 208 units x ($9.92 true - $7.08 posted) = $590.72 understatement
Line,2026-06,COGS-CORR-Jun2026,51100 Bulk Olive Oil - Raw (Debit),TikTok,661.72,TikTok: 233 units x ($9.92 true - $7.08 posted) = $661.72 understatement
Line,2026-06,COGS-CORR-Jun2026,51100 Bulk Olive Oil - Raw (Debit),Amazon,854.84,Amazon: 301 units x ($9.92 true - $7.08 posted) = $854.84 understatement
Line,2026-06,COGS-CORR-Jun2026,13100 Inventory (Credit),,2107.28,Relieves inventory for Jun 2026 COGS correction
JE Header,2026-07,COGS-CORR-Jul2026,,,1001.52,"COGS correction for Jul 2026: true FIFO inventory cost was $8.25/unit (validated against 8/3/2026 physical count of 2,267 units), vs. $7.08/unit posted rate baseline. Restates COGS by channel for units sold this month."
Line,2026-07,COGS-CORR-Jul2026,51100 Bulk Olive Oil - Raw (Debit),DTC,273.78,DTC: 234 units x ($8.25 true - $7.08 posted) = $273.78 understatement
Line,2026-07,COGS-CORR-Jul2026,51100 Bulk Olive Oil - Raw (Debit),TikTok,257.40,TikTok: 220 units x ($8.25 true - $7.08 posted) = $257.40 understatement
